T0917 - loss: 0.01, correlation: 0.969643
T0915 - loss: 0.03, correlation: 0.634518
T0914 - loss: 0.02, correlation: 0.610238
T0913 - loss: 0.01, correlation: 0.921038
T0912 - loss: 0.06, correlation: 0.731665
T0911 - loss: 0.08, correlation: 0.814442
T0918 - loss: 0.05, correlation: 0.850237
T0944 - loss: 0.01, correlation: 0.944069
T0878 - loss: 0.08, correlation: 0.402233
T0879 - loss: 0.04, correlation: 0.957465
T0923 - loss: 0.04, correlation: 0.445673
T0877 - loss: 0.00, correlation: 0.909331
T0870 - loss: 0.15, correlation: 0.114153
T0869 - loss: 0.13, correlation: 0.482916
T0872 - loss: 0.07, correlation: 0.929410
T0873 - loss: 0.03, correlation: 0.975368
T0947 - loss: 0.04, correlation: 0.863611
T0868 - loss: 0.32, correlation: 0.553062
T0871 - loss: 0.04, correlation: 0.885563
T0881 - loss: 0.06, correlation: 0.687832
T0880 - loss: 0.12, correlation: 0.314594
T0882 - loss: 0.03, correlation: 0.793363
T0885 - loss: 0.04, correlation: 0.909289
T0884 - loss: 0.26, correlation: 0.723435
T0886 - loss: 0.00, correlation: 0.737379
T0889 - loss: 0.01, correlation: 0.972390
T0888 - loss: 0.11, correlation: 0.665424
T0859 - loss: 0.04, correlation: 0.402398
T0900 - loss: 0.10, correlation: 0.761353
T0901 - loss: 0.03, correlation: 0.841632
T0902 - loss: 0.06, correlation: 0.896587
T0903 - loss: 0.07, correlation: 0.932200
T0904 - loss: 0.01, correlation: 0.906618
T0905 - loss: 0.05, correlation: 0.793662
T0909 - loss: 0.13, correlation: 0.859223
T0863 - loss: 0.00, correlation: 0.416990
T0862 - loss: 0.26, correlation: 0.577674
T0928 - loss: 0.08, correlation: 0.843028
T0860 - loss: 0.03, correlation: 0.885735
T0867 - loss: 0.02, correlation: 0.972334
T0866 - loss: 0.00, correlation: 0.873451
T0865 - loss: 0.14, correlation: 0.816068
T0864 - loss: 0.10, correlation: 0.721267
T0922 - loss: 0.26, correlation: 0.783586
T0945 - loss: 0.12, correlation: 0.867523
T0946 - loss: 0.05, correlation: 0.883163
T0921 - loss: 0.02, correlation: 0.964068
T0941 - loss: 0.04, correlation: 0.531990
T0942 - loss: 0.12, correlation: 0.857338
T0943 - loss: 0.05, correlation: 0.903897
T0920 - loss: 0.13, correlation: 0.865093
T0861 - loss: 0.07, correlation: 0.956716
T0892 - loss: 0.05, correlation: 0.704565
T0893 - loss: 0.03, correlation: 0.941559
T0890 - loss: 0.20, correlation: 0.351569
T0891 - loss: 0.05, correlation: 0.970304
T0896 - loss: 0.06, correlation: 0.254793
T0897 - loss: 0.14, correlation: 0.529195
T0894 - loss: 0.00, correlation: 0.747826
T0895 - loss: 0.01, correlation: 0.859863
T0948 - loss: 0.03, correlation: 0.890072
T0898 - loss: 0.09, correlation: 0.534871
T0899 - loss: 0.10, correlation: 0.625644
average loss: 0.072615, average correlation: 0.751146
