T0917 - loss: 0.01, correlation: 0.966416
T0915 - loss: 0.03, correlation: 0.668312
T0914 - loss: 0.02, correlation: 0.670872
T0913 - loss: 0.01, correlation: 0.933740
T0912 - loss: 0.00, correlation: 0.795061
T0911 - loss: 0.08, correlation: 0.800143
T0918 - loss: 0.05, correlation: 0.860697
T0944 - loss: 0.01, correlation: 0.944019
T0878 - loss: 0.08, correlation: 0.495954
T0879 - loss: 0.04, correlation: 0.959433
T0923 - loss: 0.04, correlation: 0.515498
T0877 - loss: 0.00, correlation: 0.890371
T0870 - loss: 0.25, correlation: 0.096486
T0869 - loss: 0.13, correlation: 0.518220
T0872 - loss: 0.11, correlation: 0.919100
T0873 - loss: 0.03, correlation: 0.980969
T0947 - loss: 0.04, correlation: 0.878207
T0868 - loss: 0.00, correlation: 0.578347
T0871 - loss: 0.04, correlation: 0.893030
T0881 - loss: 0.06, correlation: 0.710523
T0880 - loss: 0.10, correlation: 0.247682
T0882 - loss: 0.03, correlation: 0.766722
T0885 - loss: 0.04, correlation: 0.896113
T0884 - loss: 0.26, correlation: 0.633669
T0886 - loss: 0.00, correlation: 0.826057
T0889 - loss: 0.01, correlation: 0.976202
T0888 - loss: 0.11, correlation: 0.585744
T0859 - loss: 0.04, correlation: 0.428866
T0900 - loss: 0.12, correlation: 0.761905
T0901 - loss: 0.03, correlation: 0.796823
T0902 - loss: 0.06, correlation: 0.852897
T0903 - loss: 0.09, correlation: 0.939820
T0904 - loss: 0.00, correlation: 0.921916
T0905 - loss: 0.05, correlation: 0.794097
T0909 - loss: 0.13, correlation: 0.866936
T0863 - loss: 0.00, correlation: 0.531900
T0862 - loss: 0.19, correlation: 0.664369
T0928 - loss: 0.08, correlation: 0.864136
T0860 - loss: 0.03, correlation: 0.937174
T0867 - loss: 0.02, correlation: 0.962963
T0866 - loss: 0.00, correlation: 0.858717
T0865 - loss: 0.12, correlation: 0.850676
T0864 - loss: 0.10, correlation: 0.788952
T0922 - loss: 0.26, correlation: 0.738990
T0945 - loss: 0.12, correlation: 0.903705
T0946 - loss: 0.05, correlation: 0.889706
T0921 - loss: 0.00, correlation: 0.951692
T0941 - loss: 0.03, correlation: 0.682444
T0942 - loss: 0.17, correlation: 0.829536
T0943 - loss: 0.05, correlation: 0.888505
T0920 - loss: 0.13, correlation: 0.828263
T0861 - loss: 0.07, correlation: 0.956510
T0892 - loss: 0.05, correlation: 0.737952
T0893 - loss: 0.03, correlation: 0.942301
T0890 - loss: 0.20, correlation: 0.393038
T0891 - loss: 0.05, correlation: 0.966846
T0896 - loss: 0.06, correlation: 0.265417
T0897 - loss: 0.14, correlation: 0.499987
T0894 - loss: 0.00, correlation: 0.782083
T0895 - loss: 0.02, correlation: 0.817179
T0948 - loss: 0.03, correlation: 0.909864
T0898 - loss: 0.09, correlation: 0.483344
T0899 - loss: 0.10, correlation: 0.649369
average loss: 0.067965, average correlation: 0.761055
