T0917 - loss: 0.01, correlation: 0.971714
T0915 - loss: 0.03, correlation: 0.663885
T0914 - loss: 0.02, correlation: 0.665752
T0913 - loss: 0.01, correlation: 0.932817
T0912 - loss: 0.06, correlation: 0.779239
T0911 - loss: 0.08, correlation: 0.838331
T0918 - loss: 0.05, correlation: 0.860338
T0944 - loss: 0.00, correlation: 0.947134
T0878 - loss: 0.08, correlation: 0.444107
T0879 - loss: 0.04, correlation: 0.962484
T0923 - loss: 0.01, correlation: 0.521286
T0877 - loss: 0.00, correlation: 0.883482
T0870 - loss: 0.15, correlation: 0.137366
T0869 - loss: 0.13, correlation: 0.441940
T0872 - loss: 0.00, correlation: 0.912128
T0873 - loss: 0.03, correlation: 0.980146
T0947 - loss: 0.00, correlation: 0.882365
T0868 - loss: 0.00, correlation: 0.558042
T0871 - loss: 0.03, correlation: 0.903590
T0881 - loss: 0.06, correlation: 0.604744
T0880 - loss: 0.10, correlation: 0.219744
T0882 - loss: 0.03, correlation: 0.786345
T0885 - loss: 0.04, correlation: 0.910307
T0884 - loss: 0.26, correlation: 0.717529
T0886 - loss: 0.00, correlation: 0.832150
T0889 - loss: 0.01, correlation: 0.977139
T0888 - loss: 0.11, correlation: 0.690473
T0859 - loss: 0.04, correlation: 0.374002
T0900 - loss: 0.12, correlation: 0.714599
T0901 - loss: 0.03, correlation: 0.865123
T0902 - loss: 0.06, correlation: 0.898926
T0903 - loss: 0.07, correlation: 0.937207
T0904 - loss: 0.00, correlation: 0.925264
T0905 - loss: 0.05, correlation: 0.809222
T0909 - loss: 0.00, correlation: 0.887701
T0863 - loss: 0.00, correlation: 0.662845
T0862 - loss: 0.38, correlation: 0.397658
T0928 - loss: 0.10, correlation: 0.863961
T0860 - loss: 0.03, correlation: 0.914064
T0867 - loss: 0.02, correlation: 0.972501
T0866 - loss: 0.00, correlation: 0.885839
T0865 - loss: 0.12, correlation: 0.854656
T0864 - loss: 0.10, correlation: 0.795454
T0922 - loss: 0.02, correlation: 0.755820
T0945 - loss: 0.12, correlation: 0.921444
T0946 - loss: 0.05, correlation: 0.912574
T0921 - loss: 0.02, correlation: 0.967163
T0941 - loss: 0.07, correlation: 0.324907
T0942 - loss: 0.12, correlation: 0.839423
T0943 - loss: 0.05, correlation: 0.917000
T0920 - loss: 0.13, correlation: 0.869793
T0861 - loss: 0.07, correlation: 0.956720
T0892 - loss: 0.05, correlation: 0.658687
T0893 - loss: 0.03, correlation: 0.942493
T0890 - loss: 0.20, correlation: 0.339479
T0891 - loss: 0.05, correlation: 0.967530
T0896 - loss: 0.06, correlation: 0.248567
T0897 - loss: 0.14, correlation: 0.468852
T0894 - loss: 0.00, correlation: 0.725992
T0895 - loss: 0.01, correlation: 0.866473
T0948 - loss: 0.03, correlation: 0.913213
T0898 - loss: 0.07, correlation: 0.520839
T0899 - loss: 0.10, correlation: 0.707752
average loss: 0.061005, average correlation: 0.755688
