T0917 - loss: 0.01, correlation: 0.969801
T0915 - loss: 0.03, correlation: 0.676340
T0914 - loss: 0.02, correlation: 0.662633
T0913 - loss: 0.01, correlation: 0.930013
T0912 - loss: 0.06, correlation: 0.765268
T0911 - loss: 0.08, correlation: 0.823817
T0918 - loss: 0.05, correlation: 0.865295
T0944 - loss: 0.01, correlation: 0.944847
T0878 - loss: 0.08, correlation: 0.427836
T0879 - loss: 0.04, correlation: 0.960359
T0923 - loss: 0.01, correlation: 0.508054
T0877 - loss: 0.00, correlation: 0.891393
T0870 - loss: 0.15, correlation: 0.195487
T0869 - loss: 0.13, correlation: 0.473787
T0872 - loss: 0.07, correlation: 0.923236
T0873 - loss: 0.03, correlation: 0.978623
T0947 - loss: 0.00, correlation: 0.879779
T0868 - loss: 0.00, correlation: 0.570698
T0871 - loss: 0.04, correlation: 0.896020
T0881 - loss: 0.06, correlation: 0.602926
T0880 - loss: 0.10, correlation: 0.222507
T0882 - loss: 0.03, correlation: 0.800221
T0885 - loss: 0.04, correlation: 0.913729
T0884 - loss: 0.26, correlation: 0.740431
T0886 - loss: 0.00, correlation: 0.816750
T0889 - loss: 0.01, correlation: 0.975229
T0888 - loss: 0.11, correlation: 0.705048
T0859 - loss: 0.04, correlation: 0.380784
T0900 - loss: 0.12, correlation: 0.717833
T0901 - loss: 0.03, correlation: 0.868383
T0902 - loss: 0.06, correlation: 0.899747
T0903 - loss: 0.07, correlation: 0.934912
T0904 - loss: 0.00, correlation: 0.919550
T0905 - loss: 0.05, correlation: 0.808464
T0909 - loss: 0.00, correlation: 0.881279
T0863 - loss: 0.00, correlation: 0.659760
T0862 - loss: 0.38, correlation: 0.412835
T0928 - loss: 0.10, correlation: 0.857964
T0860 - loss: 0.03, correlation: 0.907756
T0867 - loss: 0.02, correlation: 0.974217
T0866 - loss: 0.00, correlation: 0.891593
T0865 - loss: 0.12, correlation: 0.845836
T0864 - loss: 0.10, correlation: 0.778494
T0922 - loss: 0.26, correlation: 0.781381
T0945 - loss: 0.12, correlation: 0.910527
T0946 - loss: 0.05, correlation: 0.909654
T0921 - loss: 0.02, correlation: 0.967754
T0941 - loss: 0.07, correlation: 0.312627
T0942 - loss: 0.12, correlation: 0.842343
T0943 - loss: 0.05, correlation: 0.912847
T0920 - loss: 0.13, correlation: 0.869201
T0861 - loss: 0.07, correlation: 0.956003
T0892 - loss: 0.05, correlation: 0.665434
T0893 - loss: 0.03, correlation: 0.943243
T0890 - loss: 0.20, correlation: 0.345297
T0891 - loss: 0.12, correlation: 0.969572
T0896 - loss: 0.06, correlation: 0.278019
T0897 - loss: 0.14, correlation: 0.468641
T0894 - loss: 0.00, correlation: 0.736922
T0895 - loss: 0.01, correlation: 0.869879
T0948 - loss: 0.03, correlation: 0.910699
T0898 - loss: 0.09, correlation: 0.539174
T0899 - loss: 0.10, correlation: 0.701598
average loss: 0.067499, average correlation: 0.757942
