T0917 - loss: 0.01, correlation: 0.959973
T0915 - loss: 0.03, correlation: 0.672949
T0914 - loss: 0.02, correlation: 0.686789
T0913 - loss: 0.01, correlation: 0.929853
T0912 - loss: 0.00, correlation: 0.815867
T0911 - loss: 0.08, correlation: 0.891586
T0918 - loss: 0.05, correlation: 0.866749
T0944 - loss: 0.00, correlation: 0.930769
T0878 - loss: 0.08, correlation: 0.511349
T0879 - loss: 0.04, correlation: 0.953808
T0923 - loss: 0.04, correlation: 0.546441
T0877 - loss: 0.09, correlation: 0.890186
T0870 - loss: 0.15, correlation: 0.164411
T0869 - loss: 0.13, correlation: 0.578339
T0872 - loss: 0.07, correlation: 0.917340
T0873 - loss: 0.03, correlation: 0.977415
T0947 - loss: 0.00, correlation: 0.882118
T0868 - loss: 0.00, correlation: 0.595763
T0871 - loss: 0.04, correlation: 0.904144
T0881 - loss: 0.06, correlation: 0.626820
T0880 - loss: 0.10, correlation: 0.179541
T0882 - loss: 0.03, correlation: 0.750532
T0885 - loss: 0.04, correlation: 0.899301
T0884 - loss: 0.26, correlation: 0.745377
T0886 - loss: 0.00, correlation: 0.846595
T0889 - loss: 0.01, correlation: 0.972117
T0888 - loss: 0.11, correlation: 0.608328
T0859 - loss: 0.04, correlation: 0.460221
T0900 - loss: 0.17, correlation: 0.763991
T0901 - loss: 0.03, correlation: 0.847704
T0902 - loss: 0.06, correlation: 0.885908
T0903 - loss: 0.09, correlation: 0.942897
T0904 - loss: 0.01, correlation: 0.919896
T0905 - loss: 0.05, correlation: 0.805493
T0909 - loss: 0.13, correlation: 0.855216
T0863 - loss: 0.00, correlation: 0.728046
T0862 - loss: 0.19, correlation: 0.591169
T0928 - loss: 0.08, correlation: 0.885211
T0860 - loss: 0.03, correlation: 0.940176
T0867 - loss: 0.00, correlation: 0.971381
T0866 - loss: 0.00, correlation: 0.872276
T0865 - loss: 0.12, correlation: 0.833317
T0864 - loss: 0.10, correlation: 0.809414
T0922 - loss: 0.02, correlation: 0.814648
T0945 - loss: 0.12, correlation: 0.945258
T0946 - loss: 0.05, correlation: 0.896950
T0921 - loss: 0.00, correlation: 0.942636
T0941 - loss: 0.03, correlation: 0.560456
T0942 - loss: 0.17, correlation: 0.822335
T0943 - loss: 0.05, correlation: 0.903934
T0920 - loss: 0.13, correlation: 0.845508
T0861 - loss: 0.07, correlation: 0.951233
T0892 - loss: 0.03, correlation: 0.739352
T0893 - loss: 0.03, correlation: 0.934492
T0890 - loss: 0.20, correlation: 0.411178
T0891 - loss: 0.05, correlation: 0.963702
T0896 - loss: 0.06, correlation: 0.255226
T0897 - loss: 0.14, correlation: 0.523686
T0894 - loss: 0.00, correlation: 0.759834
T0895 - loss: 0.02, correlation: 0.855564
T0948 - loss: 0.03, correlation: 0.917406
T0898 - loss: 0.10, correlation: 0.494936
T0899 - loss: 0.10, correlation: 0.684216
average loss: 0.063012, average correlation: 0.772053
