#LGA 1:feature_DeepQA 2:feature_RF_SRS 3:feature_RWplus 4:feature_voronota 5:feature_dope 6:feature_proq2 7:feature_proq3_lowres 8:feature_proq3_highres 9:feature_proq3 10:feature_OPUS 11:feature_total_surf 12:feature_ss_sim 13:feature_solvent 14:feature_weighted 15:feature_euclidean 16:feature_ss_penalty 17:feature_SBROD 18:feature_dncon2_short-range 19:feature_dncon2_medium-range 20:feature_dncon2_long-range
0 1:0.57135 2:0.683516702297191 3:0.695036215797595 4:0.269968 5:0.746762690065863 6:0.429733 7:0.336983 8:0.296257 9:0.289171 10:0.953324606794429 11:0.738606557377049 12:0.506849315068493 13:0.698630136986301 14:0.745157367565426 15:0.81405881988119 16:0.684931506849315 17:1.2724135001 18:0.2 19:0.2 20:0.0667 #1AIL:model_61
0 1:0.70592 2:0.685680248382958 3:0.708799799644283 4:0.29529 5:0.761781938955874 6:0.479034 7:0.451763 8:0.331775 9:0.342482 10:0.965779174451774 11:0.74344262295082 12:0.534246575342466 13:0.767123287671233 14:0.750664459912057 15:0.812631699857142 16:0.698630136986301 17:1.22910483856 18:0.1333 19:0.1333 20:0.0667 #1AIL:model_7054
0 1:0.67725 2:0.692234477731478 3:0.710915198176657 4:0.295258 5:0.76471308545336 6:0.456806 7:0.435894 8:0.317591 9:0.353955 10:0.951427186136353 11:0.752868852459016 12:0.657534246575342 13:0.726027397260274 14:0.758952921405761 15:0.824009081769561 16:0.76027397260274 17:1.24349258416 18:0.0667 19:0.1333 20:0.4667 #1AIL:model_1518
0 1:0.59095 2:0.693732534305428 3:0.643731262323467 4:0.217069 5:0.686749037518675 6:0.416168 7:0.367901 8:0.318451 9:0.330364 10:0.937368635712318 11:0.721229508196721 12:0.657534246575342 13:0.726027397260274 14:0.738105463724272 15:0.820157562460761 16:0.76027397260274 17:1.2756318065 18:0.0667 19:0.0667 20:0.2667 #1AIL:model_8190
0 1:0.60935 2:0.688962091576001 3:0.660950259367013 4:0.285845 5:0.700567387685963 6:0.408079 7:0.31982 8:0.331978 9:0.342079 10:0.937771436065069 11:0.732622950819672 12:0.657534246575342 13:0.767123287671233 14:0.743004184038792 15:0.827691748172336 16:0.76027397260274 17:1.21379784179 18:0.0667 19:0.1333 20:0.0667 #1AIL:model_13928
0 1:0.59784 2:0.693092469638224 3:0.681708150567145 4:0.295979 5:0.749162843675694 6:0.498037 7:0.418127 8:0.307646 9:0.358443 10:0.938519648548271 11:0.739754098360656 12:0.726027397260274 13:0.671232876712329 14:0.746800830663703 15:0.823761883764568 16:0.801369863013699 17:1.2447211491 18:0 19:0.0667 20:0.1333 #1AIL:model_47320
0 1:0.57179 2:0.690619343225646 3:0.654922591432172 4:0.285614 5:0.719358504724029 6:0.509871 7:0.3979 8:0.316863 9:0.357757 10:0.940135421767341 11:0.718606557377049 12:0.671232876712329 13:0.63013698630137 14:0.726695737562054 15:0.818359238417826 16:0.767123287671233 17:1.25870830289 18:0.1333 19:0 20:0.2667 #1AIL:model_37105
0 1:0.66178 2:0.704013754145423 3:0.652022713459523 4:0.277834 5:0.705775854638807 6:0.429494 7:0.368569 8:0.362081 9:0.366287 10:0.936145316122481 11:0.717786885245902 12:0.726027397260274 13:0.767123287671233 14:0.735026576792558 15:0.813706742621202 16:0.821917808219178 17:1.22053881401 18:0.1333 19:0.0667 20:0 #1AIL:model_15937
0 1:0.5218 2:0.676921178827944 3:0.653651073451984 4:0.262751 5:0.69207669012899 6:0.222202 7:0.174112 8:0.15057 9:0.126735 10:0.936901830046645 11:0.732704918032787 12:0.643835616438356 13:0.643835616438356 14:0.748956607770622 15:0.82959168668548 16:0.76027397260274 17:1.26513368473 18:0.2 19:0.2667 20:0 #1AIL:model_50043
0 1:0.65286 2:0.695236773212415 3:0.688577070695768 4:0.324746 5:0.751278133219704 6:0.445478 7:0.379801 8:0.33302 9:0.34938 10:0.949763168311114 11:0.73672131147541 12:0.63013698630137 13:0.726027397260274 14:0.744175929485084 15:0.821918251950123 16:0.753424657534247 17:1.27298666128 18:0.2 19:0.1333 20:0.3333 #1AIL:model_41170
0 1:0.57082 2:0.696734056994735 3:0.654964232617581 4:0.247417 5:0.698483281674137 6:0.405001 7:0.411098 8:0.373363 9:0.337656 10:0.927781072955229 11:0.737377049180328 12:0.794520547945205 13:0.671232876712329 14:0.74443602463631 15:0.819174214627661 16:0.835616438356164 17:1.29760654395 18:0 19:0 20:0.2 #1AIL:model_2237
